Time,ZN_OFFICES_A1::Des Heat Load [W],ZN_OFFICES_A1:BOLOGNA-BORGO PANIGALE ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ZN_OFFICES_A1::Des Heat Mass Flow [kg/s],ZN_OFFICES_A1:BOLOGNA-BORGO PANIGALE ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ZN_OFFICES_A2::Des Heat Load [W],ZN_OFFICES_A2:BOLOGNA-BORGO PANIGALE ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ZN_OFFICES_A2::Des Heat Mass Flow [kg/s],ZN_OFFICES_A2:BOLOGNA-BORGO PANIGALE ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ZN_OFFICES_B1:BOLOGNA-BORGO PANIGALE ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ZN_OFFICES_B1:BOLOGNA-BORGO PANIGALE ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ZN_OFFICES_B1:BOLOGNA-BORGO PANIGALE ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ZN_OFFICES_B1:BOLOGNA-BORGO PANIGALE ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ZN_CLASSROOM_A::Des Heat Load [W],ZN_CLASSROOM_A::Des Sens Cool Load [W],ZN_CLASSROOM_A::Des Heat Mass Flow [kg/s],ZN_CLASSROOM_A::Des Cool Mass Flow [kg/s],ZN_OFFICE_B2:BOLOGNA-BORGO PANIGALE ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ZN_OFFICE_B2:BOLOGNA-BORGO PANIGALE ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ZN_OFFICE_B2:BOLOGNA-BORGO PANIGALE ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ZN_OFFICE_B2:BOLOGNA-BORGO PANIGALE ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ZN_CLASSROOM_B:BOLOGNA-BORGO PANIGALE ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ZN_CLASSROOM_B::Des Sens Cool Load [W],ZN_CLASSROOM_B:BOLOGNA-BORGO PANIGALE ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ZN_CLASSROOM_B::Des Cool Mass Flow [kg/s]
00:30:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.137708E+04,0.000000E+00,2.788437E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,9.593156E+03,0.000000E+00,2.351408E-01,0.000000E+00,3.779964E+03,0.000000E+00,9.263963E-02,0.000000E+00
01:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.141153E+04,0.000000E+00,2.796720E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,9.624324E+03,0.000000E+00,2.358930E-01,0.000000E+00,3.778745E+03,0.000000E+00,9.260429E-02,0.000000E+00
01:30:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.145466E+04,0.000000E+00,2.807288E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,9.656602E+03,0.000000E+00,2.366843E-01,0.000000E+00,3.778453E+03,0.000000E+00,9.259686E-02,0.000000E+00
02:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.149877E+04,0.000000E+00,2.818098E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,9.692532E+03,0.000000E+00,2.375653E-01,0.000000E+00,3.779236E+03,0.000000E+00,9.261603E-02,0.000000E+00
02:30:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.153843E+04,0.000000E+00,2.827817E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,9.724433E+03,0.000000E+00,2.383473E-01,0.000000E+00,3.779719E+03,0.000000E+00,9.262785E-02,0.000000E+00
03:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.157499E+04,0.000000E+00,2.836774E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,9.753816E+03,0.000000E+00,2.390674E-01,0.000000E+00,3.780131E+03,0.000000E+00,9.263795E-02,0.000000E+00
03:30:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.160894E+04,0.000000E+00,2.845092E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,9.781106E+03,0.000000E+00,2.397363E-01,0.000000E+00,3.780506E+03,0.000000E+00,9.264714E-02,0.000000E+00
04:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.164062E+04,0.000000E+00,2.852854E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,9.806557E+03,0.000000E+00,2.403600E-01,0.000000E+00,3.780852E+03,0.000000E+00,9.265562E-02,0.000000E+00
04:30:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.167029E+04,0.000000E+00,2.860123E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,9.830381E+03,0.000000E+00,2.409439E-01,0.000000E+00,3.781175E+03,0.000000E+00,9.266353E-02,0.000000E+00
05:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.169817E+04,0.000000E+00,2.866954E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,9.852756E+03,0.000000E+00,2.414923E-01,0.000000E+00,3.781479E+03,0.000000E+00,9.267096E-02,0.000000E+00
05:30:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.172444E+04,0.000000E+00,2.873392E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,9.873830E+03,0.000000E+00,2.420087E-01,0.000000E+00,3.781766E+03,0.000000E+00,9.267800E-02,0.000000E+00
06:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.174927E+04,0.000000E+00,2.879475E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,9.893730E+03,0.000000E+00,2.424964E-01,0.000000E+00,3.782039E+03,0.000000E+00,9.268468E-02,0.000000E+00
06:30:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,9.844753E+03,7.752696E+02,2.412910E-01,4.488051E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.290511E+03,0.000000E+00,2.032137E-01,0.000000E+00,3.171138E+03,0.000000E+00,7.772016E-02,0.000000E+00
07:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,7.931748E+03,2.118111E+03,1.944313E-01,1.223450E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.677603E+03,5.777820E+02,1.636969E-01,3.342242E-02,2.558309E+03,0.000000E+00,6.271000E-02,0.000000E+00
07:30:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.473383E+03,0.000000E+00,1.820096E-01,7.951714E+03,3.517040E+03,1.949334E-01,2.027917E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.689761E+03,1.953122E+03,1.640025E-01,1.127530E-01,2.558811E+03,0.000000E+00,6.272699E-02,0.000000E+00
08:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.029709E+03,0.000000E+00,3.747808E-01,7.973606E+03,4.947321E+03,1.954769E-01,2.851797E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.705953E+03,3.385572E+03,1.644032E-01,1.952154E-01,2.559825E+03,0.000000E+00,6.275447E-02,0.000000E+00
08:30:00,0.000000E+00,4.554392E+03,0.000000E+00,3.196055E-01,0.000000E+00,8.170088E+03,0.000000E+00,6.159571E-01,6.126000E+03,1.588692E+04,1.501817E-01,1.041473E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.156337E+03,1.525819E+04,1.264127E-01,9.641780E-01,2.014064E+03,0.000000E+00,4.937496E-02,0.000000E+00
09:00:00,0.000000E+00,8.690579E+03,0.000000E+00,6.322025E-01,0.000000E+00,1.155436E+04,0.000000E+00,8.711029E-01,4.233843E+03,2.523629E+04,1.037950E-01,1.795760E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.568429E+03,2.312776E+04,8.748369E-02,1.596081E+00,1.468897E+03,0.000000E+00,3.601021E-02,0.000000E+00
09:30:00,0.000000E+00,1.102675E+04,0.000000E+00,8.322293E-01,0.000000E+00,1.389270E+04,0.000000E+00,1.047642E+00,2.097397E+03,2.642263E+04,5.141864E-02,1.992516E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.767076E+03,2.147222E+04,4.332156E-02,1.621981E+00,1.469494E+03,0.000000E+00,3.602544E-02,0.000000E+00
10:00:00,0.000000E+00,1.386567E+04,0.000000E+00,1.045608E+00,0.000000E+00,1.622561E+04,0.000000E+00,1.223733E+00,0.000000E+00,2.855003E+04,0.000000E+00,2.152858E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.323490E+04,0.000000E+00,1.752008E+00,1.469900E+03,0.000000E+00,3.603586E-02,0.000000E+00
10:30:00,0.000000E+00,1.450754E+04,0.000000E+00,1.093984E+00,0.000000E+00,1.680999E+04,0.000000E+00,1.267906E+00,0.000000E+00,2.896601E+04,0.000000E+00,2.184091E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.373385E+04,0.000000E+00,1.789461E+00,1.467845E+03,0.000000E+00,3.598453E-02,0.000000E+00
11:00:00,0.000000E+00,1.501580E+04,0.000000E+00,1.132370E+00,0.000000E+00,1.726843E+04,0.000000E+00,1.302618E+00,0.000000E+00,2.930821E+04,0.000000E+00,2.209967E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.414602E+04,0.000000E+00,1.820575E+00,1.466916E+03,0.000000E+00,3.596083E-02,0.000000E+00
11:30:00,0.000000E+00,1.483092E+04,0.000000E+00,1.118451E+00,0.000000E+00,1.754890E+04,0.000000E+00,1.323831E+00,0.000000E+00,2.894873E+04,0.000000E+00,2.182968E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.396748E+04,0.000000E+00,1.807126E+00,1.466494E+03,0.000000E+00,3.594995E-02,0.000000E+00
12:00:00,0.000000E+00,1.453254E+04,0.000000E+00,1.095906E+00,0.000000E+00,1.766534E+04,0.000000E+00,1.332588E+00,0.000000E+00,2.844770E+04,0.000000E+00,2.145189E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.362912E+04,0.000000E+00,1.781556E+00,1.464488E+03,0.000000E+00,3.590022E-02,0.000000E+00
12:30:00,0.000000E+00,1.429252E+04,0.000000E+00,1.077923E+00,0.000000E+00,1.772653E+04,0.000000E+00,1.337433E+00,0.000000E+00,2.801205E+04,0.000000E+00,2.112514E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.329390E+04,0.000000E+00,1.756412E+00,1.464910E+03,0.000000E+00,3.590976E-02,0.000000E+00
13:00:00,0.000000E+00,1.426611E+04,0.000000E+00,1.076090E+00,0.000000E+00,1.777918E+04,0.000000E+00,1.341696E+00,0.000000E+00,2.783106E+04,0.000000E+00,2.099101E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.309011E+04,0.000000E+00,1.741223E+00,1.464216E+03,0.000000E+00,3.589276E-02,0.000000E+00
13:30:00,0.000000E+00,1.388311E+04,0.000000E+00,1.047241E+00,0.000000E+00,1.605174E+04,0.000000E+00,1.211390E+00,0.000000E+00,2.735600E+04,0.000000E+00,2.063344E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.248781E+04,0.000000E+00,1.695838E+00,1.465647E+03,0.000000E+00,3.592876E-02,0.000000E+00
14:00:00,0.000000E+00,1.361844E+04,0.000000E+00,1.027270E+00,0.000000E+00,1.420358E+04,0.000000E+00,1.071810E+00,0.000000E+00,2.703230E+04,0.000000E+00,2.038940E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.184263E+04,0.000000E+00,1.647176E+00,1.468858E+03,0.000000E+00,3.600813E-02,0.000000E+00
14:30:00,0.000000E+00,1.340231E+04,0.000000E+00,1.010936E+00,0.000000E+00,1.568203E+04,0.000000E+00,1.183165E+00,0.000000E+00,2.675003E+04,0.000000E+00,2.017610E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.113241E+04,0.000000E+00,1.593585E+00,1.468492E+03,0.000000E+00,3.599955E-02,0.000000E+00
15:00:00,0.000000E+00,1.318729E+04,0.000000E+00,9.946622E-01,0.000000E+00,1.715843E+04,0.000000E+00,1.294514E+00,0.000000E+00,2.642020E+04,0.000000E+00,1.992647E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.035694E+04,0.000000E+00,1.535054E+00,1.468303E+03,0.000000E+00,3.599492E-02,0.000000E+00
15:30:00,0.000000E+00,1.403842E+04,0.000000E+00,1.058782E+00,0.000000E+00,1.691078E+04,0.000000E+00,1.275904E+00,0.000000E+00,2.705679E+04,0.000000E+00,2.040542E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.041831E+04,0.000000E+00,1.539617E+00,1.465348E+03,0.000000E+00,3.592223E-02,0.000000E+00
16:00:00,0.000000E+00,1.482830E+04,0.000000E+00,1.118315E+00,0.000000E+00,1.662580E+04,0.000000E+00,1.254510E+00,0.000000E+00,2.755877E+04,0.000000E+00,2.078310E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.046637E+04,0.000000E+00,1.543196E+00,1.464434E+03,0.000000E+00,3.589815E-02,0.000000E+00
16:30:00,0.000000E+00,1.554272E+04,0.000000E+00,1.172186E+00,0.000000E+00,1.635730E+04,0.000000E+00,1.234370E+00,0.000000E+00,2.797343E+04,0.000000E+00,2.109562E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.054962E+04,0.000000E+00,1.549460E+00,1.466603E+03,0.000000E+00,3.595024E-02,0.000000E+00
17:00:00,0.000000E+00,1.613289E+04,0.000000E+00,1.216726E+00,0.000000E+00,1.610497E+04,0.000000E+00,1.215410E+00,0.000000E+00,2.830682E+04,0.000000E+00,2.134770E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.066873E+04,0.000000E+00,1.558466E+00,1.464968E+03,0.000000E+00,3.591118E-02,0.000000E+00
17:30:00,0.000000E+00,1.603769E+04,0.000000E+00,1.209607E+00,0.000000E+00,1.416985E+04,0.000000E+00,1.069406E+00,0.000000E+00,2.798001E+04,0.000000E+00,2.110235E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.034545E+04,0.000000E+00,1.534142E+00,1.466449E+03,0.000000E+00,3.594841E-02,0.000000E+00
18:00:00,0.000000E+00,1.581093E+04,0.000000E+00,1.192555E+00,0.000000E+00,1.224243E+04,0.000000E+00,9.238499E-01,0.000000E+00,2.748401E+04,0.000000E+00,2.072927E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.997306E+04,0.000000E+00,1.506113E+00,1.469502E+03,0.000000E+00,3.602392E-02,0.000000E+00
18:30:00,0.000000E+00,1.429364E+04,0.000000E+00,1.078140E+00,0.000000E+00,1.113146E+04,0.000000E+00,8.398710E-01,4.143899E+02,2.565762E+04,1.016683E-02,1.935226E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.865185E+04,0.000000E+00,1.406518E+00,2.088862E+03,0.000000E+00,5.120780E-02,0.000000E+00
19:00:00,0.000000E+00,1.255092E+04,0.000000E+00,9.466506E-01,0.000000E+00,9.937515E+03,0.000000E+00,7.496595E-01,9.452062E+02,2.352037E+04,2.319388E-02,1.773990E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.436613E+02,1.725183E+04,5.978550E-03,1.300931E+00,2.707905E+03,0.000000E+00,6.638268E-02,0.000000E+00
19:30:00,0.000000E+00,1.122743E+04,0.000000E+00,8.465793E-01,0.000000E+00,4.870622E+03,0.000000E+00,3.673856E-01,2.404905E+03,2.172329E+04,5.897474E-02,1.638006E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.677375E+03,1.621980E+04,4.113113E-02,1.222862E+00,2.709109E+03,0.000000E+00,6.641294E-02,0.000000E+00
20:00:00,0.000000E+00,9.983825E+03,0.000000E+00,7.525687E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.963321E+03,2.000679E+04,9.716723E-02,1.508117E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.227361E+03,1.518884E+04,7.912808E-02,1.144876E+00,2.710341E+03,0.000000E+00,6.644418E-02,0.000000E+00
20:30:00,0.000000E+00,4.845849E+03,0.000000E+00,3.652609E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.202502E+03,1.117292E+04,1.275412E-01,8.169590E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,4.481830E+03,7.455639E+03,1.098780E-01,5.619617E-01,3.251814E+03,0.000000E+00,7.971432E-02,0.000000E+00
21:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.311838E+03,3.533123E+03,1.547317E-01,2.040952E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.450177E+03,5.429190E+02,1.336129E-01,3.131124E-02,3.792380E+03,0.000000E+00,9.295993E-02,0.000000E+00
21:30:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.714775E+03,2.737376E+03,2.136386E-01,1.581411E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,7.416138E+03,5.429190E+02,1.818093E-01,3.131124E-02,3.795149E+03,0.000000E+00,9.302979E-02,0.000000E+00
22:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.108104E+04,1.502777E+03,2.716470E-01,8.669222E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,9.348117E+03,2.608019E+02,2.291730E-01,1.504267E-02,3.798367E+03,0.000000E+00,9.311306E-02,0.000000E+00
22:30:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.116422E+04,8.677918E+02,2.736747E-01,5.002925E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,9.417122E+03,2.608019E+02,2.308581E-01,1.504267E-02,3.793638E+03,0.000000E+00,9.299301E-02,0.000000E+00
23:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.123309E+04,0.000000E+00,2.753453E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,9.475341E+03,0.000000E+00,2.322745E-01,0.000000E+00,3.789162E+03,0.000000E+00,9.287658E-02,0.000000E+00
23:30:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.129984E+04,0.000000E+00,2.769690E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,9.530689E+03,0.000000E+00,2.336234E-01,0.000000E+00,3.788061E+03,0.000000E+00,9.284483E-02,0.000000E+00
24:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.134732E+04,0.000000E+00,2.781291E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,9.565991E+03,0.000000E+00,2.344863E-01,0.000000E+00,3.784258E+03,0.000000E+00,9.275005E-02,0.000000E+00
Peak,0.000000E+00,1.613289E+04,0.000000E+00,1.216726E+00,0.000000E+00,1.777918E+04,0.000000E+00,1.341696E+00,1.174927E+04,2.930821E+04,2.879475E-01,2.209967E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,9.893730E+03,2.414602E+04,2.424964E-01,1.820575E+00,3.798367E+03,0.000000E+00,9.311306E-02,0.000000E+00

Peak Vol Flow (m3/s),,,0.000000E+00,1.016200E+00,,,0.000000E+00,1.120574E+00,,,2.404916E-01,1.845748E+00,,,0.000000E+00,0.000000E+00,,,2.025312E-01,1.520530E+00,,,7.776733E-02,0.000000E+00
